bin,k,q_squared,t,x_b,W,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,W_min,W_max,link
,,8,,,45,,2.6,0.24,-0.24,0.24,-0.24,30,60,https://doi.org/10.1016/j.physletb.2007.11.093
,,8,,,70,,3.15,0.4,-0.4,0.33,-0.33,60,80,
,,8,,,90,,5.25,0.55,-0.55,0.55,-0.55,80,100,
,,8,,,110,,5.11,0.71,-0.71,0.76,-0.76,100,120,
,,8,,,130,,5.88,1.89,-1.89,1.26,-1.26,120,140,
,,15.5,,,45,,0.94,0.1,-0.1,0.1,-0.1,30,60,
,,15.5,,,70,,1.54,0.17,-0.17,0.14,-0.14,60,80,
,,15.5,,,90,,0.95,0.2,-0.2,0.17,-0.17,80,100,
,,15.5,,,110,,1.69,0.31,-0.31,0.33,-0.33,100,120,
,,15.5,,,130,,2.06,0.51,-0.51,0.56,-0.56,120,140,
,,25,,,45,,0.35,0.13,-0.13,0.07,-0.07,30,60,
,,25,,,70,,0.36,0.1,-0.1,0.05,-0.05,60,80,
,,25,,,90,,0.83,0.18,-0.18,0.09,-0.09,80,100,
,,25,,,110,,0.9,0.23,-0.23,0.18,-0.18,100,120,
,,25,,,130,,0.9,0.36,-0.36,0.32,-0.32,120,140,
